"SampleID","Project","Amplicon","Tree_Species","BurnYear","Latitude","Longitude","Field_Office","BLM_Fire_Name","Tracking_Number","alpha-pinene","para-cymene","alpha-terpineol","cedr-9-ene","alpha-cedrene","beta-cedrene","cis-thujopsene","alpha-himachalene","beta-chamigrene","cuparene","compound 1","alpha-chamigrene","widdrol","cedrol","beta-acorenol","alpha-acorenol","gamma-eudesmol","beta-eudesmol","alpha-eudesmol","cedr-8-en-13-ol","cedr-8-en-15-ol","compound 2","thujopsenal","Yield_percent","Bolt_Surface_Area_cm2","Raw_Exit_Holes_per_cm2","Raw_Exit_Holes","Living_Larvae","ChemTotal","ChemMean","YearsSinceBurn","SampleType","Pre_or_PostDentalChew","DogAgeMonths","OtherDogVariables","DogGender","DogBreed","DogSize","DogActivityLevel","DogDisposition","DogFixed","DogHealthProblems","DogHealthHistory","DogVaccinationsCurrent","DogFoodBrand","DogOralIssues","DogDentalChewUse","DogOtherAnimals","DogOtherAnimalType","DogCollectionCity"
"LOG-ITS2-SL9","JuniperLogs","ITS2","Juniperus osteosperma",2014,39.9422,-112.7181,"Salt_Lake_4","Lion Peak","#5273 (2014)",0.3,0.1,0.7,0.7,6.7,2.3,19.98,0.3,0.8,1.7,2.4,0,7.2,21.2,1,1,0,0.7,0.3,8.2,2.8,0.7,1.8,0.41,2794,0.0054,15,4,80.88,3.5165217391,6,"Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"LOG-ITS2-SL8","JuniperLogs","ITS2","Juniperus osteosperma",2013,41.5335,-113.7096,"Salt_Lake_3","Playground","#5272 (2013)",0.1,0.1,0.2,1,8.1,2.9,14,0.4,0.9,1.3,2.4,0.7,13.4,17.9,1.3,0,3,3.3,1.4,3.5,1.4,1.6,2,0.07,1726,0.0046,8,1,80.9,3.5173913043,7,"Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"LOG-ITS2-SL7","JuniperLogs","ITS2","Juniperus osteosperma",2012,40.8316,-112.4833,"Salt_Lake_2","Shanty Canyon","#5271 (2012)",0,0.1,0.1,0.3,9.4,1.8,9.3,0.2,1,2.1,1.9,0.8,9.6,14.6,0,0,1.4,1.1,0.6,17.2,3.4,2.3,2.4,0.54,1313,0.0008,1,0,79.6,3.4608695652,8,"Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"LOG-ITS2-SL6","JuniperLogs","ITS2","Juniperus osteosperma",2011,39.9785,-113.1177,"Salt_Lake_4","Nowhere","#5270 (2011)",0.1,0.5,2.8,0.4,8.7,2.8,28.9,0.3,0.5,1.5,1,0.3,1.5,39.9,1.5,0.7,0,1.2,0.3,0.3,0.8,0.4,1.5,0.95,1580,0,0,0,95.9,4.1695652174,9,"Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"LOG-ITS2-SL4","JuniperLogs","ITS2","Juniperus osteosperma",2009,39.9885,-113.1322,"Salt_Lake_4","Engleman","#5269 (2009)",0.2,0.6,1.1,0.5,8.6,2.9,14.4,0.3,0.5,1.7,0.8,0.3,2.9,37.3,0,0,3.2,4.8,1.6,6.4,1.6,0.9,1.8,0.43,1295,0.0054,7,0,92.4,4.0173913043,11,"Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"LOG-ITS2-SL3","JuniperLogs","ITS2","Juniperus osteosperma",2008,41.5442,-113.6921,"Salt_Lake_3","Devil","#5268 (2008)",0.1,0.2,0.1,0.9,35.5,7.6,15.9,0.4,1.4,1.9,2.7,1,4.3,16.4,0,0,0.6,0,0,2.3,0.8,0.6,0.7,0.77,2206,0.0005,1,0,93.4,4.0608695652,12,"Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"LOG-ITS2-SL2","JuniperLogs","ITS2","Juniperus osteosperma",2007,40.952,-112.8348,"Salt_Lake_2","Monarch","#5267 (2007)",0.1,0.3,0.3,0.8,7.6,2.7,28.7,0.4,0.9,2.1,1.7,0.5,5.6,19,1.7,1.1,0,1.1,0.5,10,2.3,1,3.1,0.47,1716,0.0058,10,0,91.5,3.9782608696,13,"Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"LOG-ITS2-CC4","JuniperLogs","ITS2","Juniperus osteosperma",2005,38.0547,-113.1844,"Cedar_City","Neck","#5266 (2005)",1.9,0.7,1.1,1,19.2,4.8,15,0.4,1.3,2,2.9,1,7.9,15.7,0,0,1.7,1,0.5,5.6,1.1,1.5,1.5,0.37,1256,0.0279,35,0,87.8,3.8173913043,15,"Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"LOG-ITS2-CC3","JuniperLogs","ITS2","Juniperus osteosperma",2004,38.4009,-113.8894,"Cedar_City","Vance","#5265 (2004)",0,2.2,6.2,0.9,7.6,3,34.9,0.5,0.9,2.2,2,0.5,4.1,13.8,1.1,0.8,0,0.6,0.2,6.1,1.1,0.7,2.1,0.81,2012,0.004,8,0,91.5,3.9782608696,16,"Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"LOG-ITS2-P1","JuniperLogs","ITS2","Juniperus scopulorum",2002,39.7791,-110.8793,"Price","Price Canyon","(2002)",0,0,0,0,6.7,2,32.8,0,0.9,5.2,1.1,0.8,7.1,19.1,0,0,0,0.5,0.3,1.8,0.3,0.5,3.5,0.49,1482,0.0736,"NA","NA",82.6,3.5913043478,18,"Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
